,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Latitude,Longitude
66,abu kamal,SY,16.61,62,8,0.9,1605153968,34.45,40.92
67,saint george,US,7.22,45,1,1.5,1605153968,37.1,-113.58
68,mao,ES,16.0,82,33,2.1,1605153968,39.89,4.27
69,butaritari,KI,27.62,77,100,6.01,1605153969,3.07,172.79
70,pangnirtung,CA,-5.64,94,100,5.4,1605153969,66.15,-65.71
71,narsaq,GL,-5.36,80,0,3.08,1605153969,60.92,-46.05
72,carutapera,BR,25.17,88,100,2.36,1605153862,-1.2,-46.02
73,ilulissat,GL,-11.95,93,98,3.11,1605153795,69.22,-51.1
74,bakel,SN,25.56,18,0,4.67,1605153969,14.9,-12.46
75,tiksi,RU,-16.13,92,99,1.93,1605153969,71.69,128.87
76,qaqortoq,GL,-4.32,82,0,2.82,1605153681,60.72,-46.03
77,bredasdorp,ZA,16.67,82,2,2.24,1605153970,-34.53,20.04
78,bluff,NZ,14.44,79,40,8.49,1605153970,-46.6,168.33
79,riachao das neves,BR,21.2,69,0,0.66,1605153970,-11.75,-44.91
80,cap malheureux,MU,25.56,68,3,3.13,1605153970,-19.98,57.61
81,monroe,US,8.89,70,75,3.6,1605153840,43.15,-77.68
82,erenhot,CN,3.08,69,0,1.18,1605153970,43.65,111.98
83,esperance,AU,17.0,63,90,4.1,1605153970,-33.87,121.9
84,hithadhoo,MV,28.65,68,98,0.74,1605153819,-0.6,73.08
85,mount gambier,AU,17.0,72,90,8.2,1605153971,-37.83,140.77
86,port hardy,CA,6.0,86,75,4.6,1605153774,50.7,-127.42
87,cidreira,BR,20.31,91,99,1.95,1605153971,-30.18,-50.21
88,teya,RU,-2.61,94,92,7.9,1605153971,60.38,92.63
89,muros,ES,13.33,81,75,3.1,1605153971,42.78,-9.06
90,marquette,US,1.11,79,0,0.45,1605153869,46.53,-87.63
91,brae,GB,11.0,93,100,10.3,1605153971,60.4,-1.35
92,barzas,RU,-1.0,63,75,5.0,1605153971,55.72,86.32
93,champerico,GT,25.75,87,55,4.27,1605153752,14.3,-91.92
94,olinda,BR,26.0,74,40,4.1,1605153972,-8.01,-34.86
95,kitob,UZ,10.72,74,100,0.98,1605153972,39.08,66.83
96,enshi,CN,20.75,46,0,0.49,1605153673,30.3,109.48
97,kiama,AU,27.22,85,100,5.78,1605153972,-34.68,150.87
98,san carlos de bariloche,AR,11.0,66,0,4.1,1605153814,-41.15,-71.31
99,airai,TL,27.3,44,98,2.18,1605153972,-8.93,125.41
100,avarua,CK,25.0,78,20,4.1,1605153972,-21.21,-159.78
101,luderitz,NA,16.01,63,0,4.22,1605153972,-26.65,15.16
102,puerto ayora,EC,20.0,88,90,2.09,1605153972,-0.74,-90.35
103,namibe,AO,21.53,83,14,1.59,1605153973,-15.2,12.15
104,cape town,ZA,17.22,82,0,2.6,1605153867,-33.93,18.42
105,qaanaaq,GL,-15.23,72,7,4.35,1605153973,77.48,-69.36
106,ban nahin,LA,28.16,40,90,1.98,1605153973,18.24,104.21
107,noyemberyan,AM,8.0,100,90,2.6,1605153973,41.17,45.0
108,yellowknife,CA,-10.0,78,75,8.2,1605153973,62.46,-114.35
109,kindu,CD,19.6,96,93,1.13,1605153973,-2.95,25.95
110,husavik,IS,-4.0,79,0,3.1,1605153973,66.04,-17.34
111,kot addu,PK,17.0,82,20,2.28,1605153974,30.47,70.97
112,te anau,NZ,20.99,36,5,2.62,1605153974,-45.42,167.72
113,qianjiang,CN,20.42,39,0,2.34,1605153974,30.42,112.89
114,haverfordwest,GB,11.67,81,67,10.8,1605153974,51.8,-4.97
115,amazar,RU,-2.16,89,100,2.18,1605153974,53.86,120.88
116,minudasht,IR,11.0,93,90,1.27,1605153974,37.23,55.37
117,nanortalik,GL,-1.17,82,0,0.89,1605153975,60.14,-45.24
118,aryanah,TN,17.0,88,20,1.0,1605153975,36.86,10.19
119,aborlan,PH,31.0,70,75,3.1,1605153975,9.44,118.55
120,pasighat,IN,26.52,41,0,1.12,1605153975,28.07,95.33
121,bengkulu,ID,31.1,58,100,2.88,1605153940,-3.8,102.27
122,bweyogerere,UG,16.88,95,86,0.83,1605153975,0.36,32.67
123,samarinda,ID,34.69,46,100,2.09,1605153976,-0.5,117.15
124,mujiayingzi,CN,10.92,39,0,6.42,1605153976,42.12,118.78
125,geraldton,AU,22.0,46,0,6.2,1605153963,-28.77,114.6
126,souillac,MU,23.0,83,40,2.1,1605153976,-20.52,57.52
127,kirkuk,IQ,17.25,60,0,1.59,1605153843,35.47,44.39
128,vila velha,BR,25.0,83,75,2.6,1605153685,-20.33,-40.29
129,tabuk,PH,25.3,88,100,5.31,1605153976,17.42,121.44
130,hamilton,US,5.0,80,1,5.1,1605153686,39.18,-84.53
131,maneromango,TZ,26.0,88,75,2.6,1605153977,-7.2,38.78
132,lubango,AO,16.7,72,100,0.8,1605153977,-14.92,13.49
133,san cristobal,VE,19.38,91,99,1.39,1605153684,7.77,-72.22
134,provideniya,RU,-1.0,92,90,2.0,1605153977,64.38,-173.3
135,galesong,ID,32.0,66,20,4.1,1605153977,-5.32,119.37
136,san jose,US,12.22,73,100,1.38,1605153714,37.34,-121.89
137,quatre cocos,MU,25.56,83,40,2.1,1605153977,-20.21,57.76
138,medicine hat,CA,-13.0,84,20,3.6,1605153605,50.05,-110.67
139,lagoa,PT,16.11,57,100,3.21,1605153978,39.05,-27.98
140,amarante,BR,27.64,52,86,0.39,1605153978,-6.24,-42.85
141,georgetown,MY,30.0,83,20,3.1,1605153529,5.41,100.34
142,juneau,US,2.0,88,90,8.2,1605153978,58.3,-134.42
143,tasiilaq,GL,-8.02,78,4,2.76,1605153979,65.61,-37.64
144,westport,US,17.78,100,90,3.22,1605153979,41.14,-73.36
145,beyneu,KZ,-0.99,94,27,3.57,1605153979,45.32,55.2
146,watsa,CD,16.51,100,17,0.78,1605153980,3.04,29.54
147,port elizabeth,ZA,16.0,93,0,3.1,1605153980,-33.92,25.57
148,sao joao da barra,BR,22.97,92,100,2.7,1605153980,-21.64,-41.05
149,banjarmasin,ID,33.0,63,40,1.0,1605153981,-3.32,114.59
150,vaini,TO,26.0,83,75,5.1,1605153981,-21.2,-175.2
151,mbalmayo,CM,21.0,100,75,1.5,1605153981,3.52,11.5
152,bara,NG,21.89,31,72,3.04,1605153981,10.37,10.73
153,vryburg,ZA,21.02,47,14,1.51,1605153981,-26.96,24.73
154,torbay,CA,8.33,93,90,6.7,1605153916,47.67,-52.73
155,barrow,US,-7.0,85,90,6.7,1605153981,71.29,-156.79
156,nome,US,1.0,98,90,1.98,1605153981,64.5,-165.41
157,yulara,AU,34.0,7,0,2.6,1605153982,-25.24,130.99
158,batemans bay,AU,23.33,65,88,3.13,1605153716,-35.72,150.18
159,kassala,SD,22.81,79,0,3.71,1605153982,15.45,36.4
160,kruisfontein,ZA,12.22,94,0,1.85,1605153982,-34.0,24.73
161,turukhansk,RU,-7.9,94,100,4.73,1605153982,65.82,87.98
162,porto walter,BR,23.37,91,92,0.72,1605153982,-8.27,-72.74
163,port stanley,FK,7.0,93,75,18.0,1605153982,-51.7,-57.85
164,menongue,AO,17.04,90,99,1.62,1605153982,-14.66,17.69
165,sagone,FR,12.0,81,0,3.1,1605153983,42.12,8.7
166,jaguey grande,CU,23.0,100,20,1.5,1605153983,22.53,-81.13
167,fortuna,US,7.0,100,1,2.1,1605153983,40.6,-124.16
168,tuatapere,NZ,14.44,79,20,8.49,1605153983,-46.13,167.68
169,chateauroux,FR,13.0,76,90,5.7,1605153787,46.82,1.7
170,velingara,SN,23.05,23,0,1.83,1605153983,13.15,-14.12
171,angoche,MZ,26.35,77,47,0.76,1605153984,-16.23,39.91
172,henties bay,NA,14.44,89,2,0.89,1605153984,-22.12,14.28
173,saint-louis,SN,27.75,16,17,4.96,1605153984,16.33,-15.0
174,guerrero negro,MX,16.7,64,0,4.32,1605153984,27.98,-114.06
175,ibra,OM,22.54,57,0,0.14,1605153984,22.69,58.53
176,victoria,HK,26.67,33,0,2.6,1605153852,22.29,114.16
177,morgan city,US,23.0,88,90,2.6,1605153984,29.7,-91.21
178,kaitangata,NZ,16.11,59,81,4.47,1605153985,-46.28,169.85
179,porto santo,PT,18.0,77,20,2.17,1605153985,33.07,-16.34
180,pevek,RU,-8.58,95,96,6.49,1605153985,69.7,170.31
181,bandarbeyla,SO,24.58,78,100,7.23,1605153985,9.49,50.81
182,tombouctou,ML,23.89,20,0,4.12,1605153985,20.0,-3.0
183,mahuva,IN,26.37,39,0,5.58,1605153985,21.09,71.76
184,kovur,IN,24.28,95,100,5.61,1605153985,14.48,79.98
185,sainte-anne-des-monts,CA,10.0,76,76,11.3,1605153985,49.12,-66.49
186,porbandar,IN,20.0,68,0,5.1,1605153986,21.64,69.61
187,sorong,ID,28.03,76,80,1.54,1605153986,-0.88,131.25
188,kodiak,US,6.0,70,1,1.5,1605153986,57.79,-152.41
189,dingle,PH,29.5,77,100,5.73,1605153986,11.0,122.67
190,kavieng,PG,29.28,70,100,3.02,1605153986,-2.57,150.8
191,codrington,AU,17.17,73,71,5.72,1605153986,-38.27,141.97
192,dalvik,IS,-4.0,79,0,3.1,1605153986,65.97,-18.53
193,kieta,PG,28.71,77,93,3.56,1605153986,-6.22,155.63
194,guarapari,BR,25.0,83,75,2.6,1605153986,-20.67,-40.5
195,shaowu,CN,23.0,37,0,0.85,1605153987,27.34,117.48
196,lasa,IT,1.0,62,5,2.1,1605153987,46.62,10.7
197,castro,BR,16.39,96,100,1.34,1605153987,-24.79,-50.01
198,labuhan,ID,32.02,60,100,5.24,1605153987,-6.88,112.21
199,north battleford,CA,-20.0,83,1,2.1,1605153481,52.78,-108.28
200,carnarvon,AU,23.0,53,0,8.7,1605153987,-24.87,113.63
201,goure,NE,21.67,34,26,3.58,1605153988,13.98,10.27
202,san patricio,US,23.33,88,20,2.6,1605153988,28.02,-97.52
203,barcelona,ES,15.0,87,20,3.6,1605153793,41.39,2.16
204,bull savanna,JM,24.21,85,100,2.18,1605153988,17.89,-77.59
205,lebu,CL,11.02,86,7,5.8,1605153988,-37.62,-73.65
206,port moresby,PG,31.0,62,40,10.3,1605153988,-9.44,147.18
207,banda aceh,ID,29.75,69,31,4.83,1605153988,5.56,95.32
208,akyab,MM,28.7,60,0,1.86,1605153989,20.15,92.9
209,mareeba,AU,30.0,48,75,3.6,1605153989,-17.0,145.43
210,north platte,US,3.89,55,1,2.6,1605153832,41.12,-100.77
211,severo-kurilsk,RU,3.0,79,95,12.26,1605153989,50.68,156.12
212,iquique,CL,17.0,72,0,2.6,1605153726,-20.22,-70.14
213,bajil,YE,25.53,73,0,1.86,1605153989,15.06,43.29
214,ponta do sol,PT,19.0,72,75,2.1,1605153989,32.67,-17.1
215,zyryanka,RU,-26.05,89,52,0.22,1605153989,65.75,150.85
216,savannah bight,HN,27.72,68,53,0.26,1605153724,16.45,-85.85
217,kahului,US,27.0,57,40,9.8,1605153907,20.89,-156.47
218,roald,NO,12.0,71,100,3.6,1605153990,62.58,6.13
219,kavaratti,IN,29.0,66,20,2.1,1605153990,10.57,72.64
220,dire,ML,20.69,32,0,0.81,1605153990,12.28,-10.97
221,tazovskiy,RU,-19.95,92,35,3.47,1605153990,67.47,78.7
222,pringsewu,ID,31.98,54,95,2.71,1605153795,-5.36,104.97
223,isangel,VU,28.0,74,75,5.1,1605153991,-19.55,169.27
224,boyolangu,ID,31.04,61,80,2.47,1605153991,-8.12,111.89
225,pacific grove,US,11.11,87,75,2.71,1605153991,36.62,-121.92
226,beian,NO,7.0,75,0,9.3,1605153991,63.66,9.57
227,ilhabela,BR,22.27,89,100,3.57,1605153991,-23.78,-45.36
228,kokologo,BF,21.0,46,0,1.5,1605153991,12.19,-1.89
229,san antonio del norte,HN,22.78,93,20,0.77,1605153991,13.88,-87.7
230,ballina,AU,27.78,57,5,9.8,1605153991,-28.87,153.57
231,palmer,US,18.0,100,90,4.6,1605153991,42.16,-72.33
232,mingyue,CN,13.77,42,80,5.77,1605153992,43.11,128.92
233,fort-shevchenko,KZ,5.32,65,97,3.83,1605153992,44.51,50.26
234,sao sebastiao,BR,22.16,88,100,3.48,1605153703,-23.76,-45.41
235,maumere,ID,31.23,63,62,1.32,1605153992,-8.62,122.21
236,bathsheba,BB,27.0,83,40,7.2,1605153992,13.22,-59.52
237,kinangan,PH,30.0,66,75,1.5,1605153992,6.3,125.58
238,mahon,ES,16.0,82,33,2.1,1605153968,39.89,4.27
239,mehamn,NO,5.44,71,18,4.57,1605153993,71.04,27.85
240,tura,IN,25.95,52,0,0.39,1605153993,25.52,90.22
241,northam,GB,10.56,96,73,3.58,1605153993,51.03,-4.22
242,pemangkat,ID,29.14,73,65,3.23,1605153993,1.17,108.97
243,yongan,CN,10.7,42,0,1.97,1605153993,39.7,113.69
244,cervo,ES,11.67,88,58,1.79,1605153993,43.67,-7.41
245,paamiut,GL,-3.9,79,0,4.66,1605153993,61.99,-49.67
246,cayenne,GF,24.0,100,20,5.54,1605153993,4.93,-52.33
247,ancud,CL,12.22,93,46,1.0,1605153993,-41.87,-73.82
248,cabo san lucas,MX,21.11,68,5,2.6,1605153994,22.89,-109.91
249,kananga,CD,19.96,89,99,0.95,1605153994,-5.9,22.42
250,norwich,GB,11.0,81,80,5.1,1605153965,52.63,1.3
251,eureka,US,6.67,91,0,1.45,1605153739,40.8,-124.16
252,stromness,GB,11.0,87,100,10.8,1605153994,58.97,-3.3
253,putina,PE,7.96,70,100,1.56,1605153994,-15.47,-69.43
254,katsuura,JP,12.78,58,75,5.1,1605153994,35.13,140.3
255,panzhihua,CN,22.57,48,18,0.68,1605153994,26.59,101.71
256,riberalta,BO,22.3,95,59,0.61,1605153994,-10.98,-66.1
257,areosa,PT,16.67,87,0,4.6,1605153995,41.72,-8.86
258,shingu,JP,19.0,59,20,3.1,1605153995,33.73,135.98
259,mayumba,GA,25.51,88,99,2.26,1605153995,-3.43,10.66
260,olafsvik,IS,3.2,89,100,5.96,1605153995,64.89,-23.71
261,bluefield,US,17.22,93,100,0.89,1605153949,37.27,-81.22
262,arona,ES,21.11,77,20,5.1,1605153995,28.1,-16.68
263,vestmannaeyjar,IS,4.76,78,100,12.79,1605153995,63.44,-20.27
264,staraya kulatka,RU,-3.8,97,0,2.94,1605153996,52.72,47.62
265,montepuez,MZ,23.22,74,98,2.11,1605153996,-13.13,39.0
266,boca do acre,BR,23.75,89,95,0.86,1605153996,-8.75,-67.4
267,thompson,CA,-19.0,77,75,3.1,1605153605,55.74,-97.86
268,witu,KE,23.0,100,1,1.6,1605153996,-2.39,40.44
269,maniitsoq,GL,-7.07,88,99,6.21,1605153996,65.42,-52.9
270,mayo,US,21.11,97,90,3.1,1605153996,38.89,-76.51
271,shubarkuduk,KZ,-2.41,96,81,5.06,1605153997,49.14,56.49
272,chumikan,RU,-3.62,94,97,3.29,1605153997,54.72,135.31
273,miri,MY,32.0,70,40,1.5,1605153997,4.41,114.01
274,cabra,ES,10.56,81,100,0.72,1605153997,37.47,-4.44
275,shimoda,JP,13.0,66,75,8.2,1605153997,34.67,138.95
276,faanui,PF,26.1,73,100,3.98,1605153997,-16.48,-151.75
277,takoradi,GH,25.57,84,0,1.99,1605153997,4.88,-1.76
278,valdivia,CL,9.0,100,75,0.5,1605153997,-39.81,-73.25
279,rawson,AR,19.23,64,99,8.03,1605153998,-43.3,-65.1
280,madingou,CG,22.94,90,51,0.28,1605153998,-4.15,13.55
281,batagay,RU,-21.26,89,92,1.21,1605153998,67.63,134.63
282,ampanihy,MG,24.07,71,2,3.25,1605153999,-24.7,44.75
283,batagay-alyta,RU,-20.25,88,11,0.66,1605153999,67.8,130.41
284,sesheke,ZM,21.44,73,95,3.01,1605153999,-17.48,24.3
285,ayna,PE,16.63,79,99,0.13,1605154000,-12.65,-73.92
286,cairns,AU,30.0,48,75,3.6,1605154000,-16.92,145.77
287,preobrazheniye,RU,9.98,84,64,4.97,1605154001,42.9,133.91
288,iqaluit,CA,-5.0,67,75,2.6,1605153841,63.75,-68.51
289,dahod,IN,23.77,29,0,3.03,1605154001,22.83,74.27
290,upington,ZA,19.0,25,0,1.5,1605154001,-28.45,21.26
291,southbridge,US,17.78,97,100,3.94,1605154001,42.08,-72.03
292,sibolga,ID,30.86,58,100,1.33,1605154001,1.74,98.78
293,xiongzhou,CN,23.59,33,0,2.87,1605154001,25.12,114.3
294,kysyl-syr,RU,-10.4,96,99,2.6,1605154001,63.9,122.76
295,eskisehir,TR,-2.0,100,90,1.5,1605153751,39.78,30.52
296,nemuro,JP,8.0,45,0,5.1,1605154002,43.32,145.57
297,acarau,BR,26.15,83,5,6.68,1605154002,-2.89,-40.12
298,floro,NO,11.0,76,100,8.7,1605153854,61.6,5.03
299,yumen,CN,7.2,41,51,7.11,1605154002,40.28,97.2
300,sisimiut,GL,-7.99,91,100,7.01,1605154002,66.94,-53.67
301,sitka,US,5.0,80,90,7.7,1605153843,57.05,-135.33
302,malangali,TZ,18.16,73,40,2.19,1605154002,-8.57,34.85
303,le moule,GP,23.0,94,0,2.73,1605154003,16.33,-61.35
304,morden,CA,-4.0,92,99,4.6,1605153537,49.19,-98.1
305,nurota,UZ,8.0,81,100,3.1,1605154003,40.56,65.69
306,santa helena de goias,BR,24.3,73,92,1.13,1605154003,-17.81,-50.6
307,natal,BR,26.0,74,40,5.1,1605154003,-5.79,-35.21
308,subtanjalla,PE,18.0,88,0,4.6,1605154003,-14.02,-75.76
309,ruwi,OM,22.0,83,0,1.0,1605154003,23.6,58.55
310,novoagansk,RU,-12.23,95,82,2.4,1605154003,61.94,76.66
311,burley,US,-2.0,74,1,7.2,1605154003,42.54,-113.79
312,kabinda,CD,19.5,95,100,1.48,1605154004,-6.13,24.48
313,steinbach,DE,8.0,100,75,2.1,1605154004,50.17,8.57
314,lompoc,US,12.0,87,75,2.1,1605154004,34.64,-120.46
315,sao filipe,CV,26.57,69,0,1.75,1605154004,14.9,-24.5
316,mena,UA,-1.47,96,44,1.3,1605154004,51.52,32.22
317,dunedin,NZ,16.67,69,83,3.58,1605153787,-45.87,170.5
318,soloneshnoye,RU,1.46,86,99,1.18,1605154004,51.65,84.32
319,buraydah,SA,18.0,100,0,2.1,1605154004,26.33,43.98
320,yilan,TW,23.89,95,100,1.87,1605154005,24.76,121.75
321,mudhol,IN,23.71,57,76,6.1,1605154005,16.35,75.28
322,karratha,AU,35.5,17,0,6.99,1605154005,-20.74,116.85
323,nago,JP,25.0,61,90,7.2,1605153891,26.59,127.98
324,concordia,AR,18.33,71,0,1.34,1605153975,-31.39,-58.02
325,talnakh,RU,-16.0,84,40,7.0,1605154005,69.49,88.4
326,saint peters,US,4.44,61,1,1.12,1605154005,38.8,-90.63
327,santo tomas,PH,26.0,94,90,3.1,1605154005,14.11,121.14
328,taoudenni,ML,23.29,22,0,5.42,1605153729,22.68,-3.98
329,paita,PE,17.54,84,99,3.49,1605154006,-5.09,-81.11
330,vardo,NO,-3.0,79,0,4.1,1605154006,70.37,31.11
331,acapulco,MX,27.0,78,5,1.5,1605153776,16.86,-99.89
332,japura,ID,31.79,60,51,2.15,1605154006,-0.32,102.35
333,medea,DZ,10.0,93,20,2.6,1605154006,36.26,2.75
334,ucluelet,CA,6.11,84,100,0.89,1605153954,48.93,-125.55
335,marau,BR,16.83,97,3,1.95,1605154006,-28.45,-52.2
336,sola,VU,31.0,74,75,2.6,1605154007,-13.88,167.55
337,petropavlovsk-kamchatskiy,RU,2.0,74,75,3.0,1605154007,53.05,158.65
338,valley city,US,-5.0,85,75,8.7,1605154007,46.92,-98.0
339,ahipara,NZ,17.51,62,45,3.78,1605154007,-35.17,173.17
340,alice springs,AU,36.0,8,0,5.1,1605153841,-23.7,133.88
341,poum,NC,24.71,72,4,4.02,1605154007,-20.23,164.02
342,presidente epitacio,BR,21.84,80,75,0.55,1605154007,-21.76,-52.12
343,cuxhaven,DE,8.0,100,84,3.6,1605153833,53.87,8.69
344,canutama,BR,23.66,93,95,0.7,1605154008,-6.53,-64.38
345,linxia,CN,10.48,48,0,1.37,1605154008,35.6,103.21
346,lata,PT,15.0,87,92,1.33,1605154008,40.16,-8.33
347,leshukonskoye,RU,-3.19,97,44,3.33,1605154008,64.9,45.76
348,sinazongwe,ZM,23.12,79,97,3.54,1605154008,-17.26,27.46
349,lulea,SE,1.0,92,100,1.89,1605153958,65.58,22.15
350,leningradskiy,RU,-4.54,97,100,8.76,1605154008,69.38,178.42
351,saint anthony,US,1.0,96,1,3.1,1605154008,45.02,-93.22
352,dauriya,RU,-2.05,90,0,8.48,1605154009,49.93,116.87
353,dondaicha,IN,24.55,27,0,2.04,1605154009,21.33,74.57
354,okha,RU,-1.19,93,84,2.15,1605154009,53.57,142.95
355,arequipa,PE,11.32,52,42,0.27,1605154009,-16.4,-71.53
356,sinop,TR,4.45,81,23,2.24,1605154009,41.77,34.87
357,guozhen,CN,18.51,44,56,1.44,1605154009,34.37,107.36
358,pervomayskiy,RU,-1.3,92,83,2.35,1605154010,53.25,40.29
359,suruc,TR,9.0,61,0,3.6,1605154010,36.98,38.42
360,itaituba,BR,24.95,80,42,0.29,1605154010,-4.28,-55.98
361,ananas,HT,21.2,95,100,1.51,1605154010,19.25,-71.96
362,kropotkin,RU,0.73,88,6,2.91,1605154010,45.44,40.58
363,egvekinot,RU,-8.83,95,100,6.31,1605154010,66.32,-179.17
364,marsh harbour,BS,26.13,78,66,10.97,1605154010,26.54,-77.06
365,surt,LY,19.63,74,31,2.03,1605154010,31.21,16.59
366,danjiangkou,CN,20.4,37,0,1.58,1605154011,32.54,111.51
367,gannan,CN,6.31,59,65,7.12,1605154011,47.91,123.5
368,zeya,RU,-6.62,89,100,1.69,1605154011,53.75,127.27
369,padang,ID,31.1,55,75,1.78,1605154011,-0.95,100.35
370,ambon,ID,32.0,70,40,3.6,1605154011,-3.7,128.18
371,xuddur,SO,22.57,87,6,3.66,1605154011,4.12,43.89
372,arlit,NE,19.61,26,0,3.39,1605154011,18.74,7.39
373,benghazi,LY,19.07,79,1,4.65,1605153987,32.12,20.07
374,upernavik,GL,-10.07,86,97,3.91,1605154011,72.79,-56.15
375,raga,SS,20.67,35,0,1.84,1605154012,8.46,25.68
376,bagdarin,RU,-3.34,80,0,1.56,1605154012,54.43,113.6
377,izhma,RU,-2.64,95,100,4.99,1605154012,65.01,53.91
378,palaikastron,GR,18.33,66,6,5.36,1605154012,35.2,26.25
379,aklavik,CA,-16.0,71,10,2.6,1605154012,68.22,-135.01
380,vila franca do campo,PT,15.0,67,75,2.1,1605154012,37.72,-25.43
381,chuy,UY,15.83,93,35,3.2,1605154012,-33.7,-53.46
382,plettenberg bay,ZA,16.39,76,0,1.73,1605154013,-34.05,23.37
383,ketchikan,US,5.0,100,90,13.9,1605154013,55.34,-131.65
384,the valley,AI,25.0,83,20,5.1,1605153819,18.22,-63.06
385,moctezuma,MX,14.82,38,0,0.45,1605154013,29.8,-109.67
